"Var";"Latency";"Growth";"Plateau";"Senescence";"growth_b_Slope";"growth_d_MaxRec";"growth_e_TimeTo50";"sen_b_Slope"
"74F";43,0628472834561;122,232263711768;14;57,5722985430302;-0,033275862083339;62,6822490864382;233,766901265398;-20,2480767573988
"A01";20,8544096893597;127,982685849964;11;74,5475768919529;-0,0317807359831107;54,5083771615734;213,332252523227;-14,0428350274608
"A109";30,3408561176979;72,5513421970196;79;78,0059403886414;-0,0560621461469558;77,4951582940989;205,720215213175;-16,1036809267106
"A53";21,9959132177656;106,500771915233;35;66,1173960276085;-0,0381911217755722;73,4994043960835;207,847393927305;-18,0008428972442
"A58";21,3298972576647;66,2542603374311;70;28,8856741732927;-0,0613905268686427;57,4302723324236;194,766843546958;-39,4165937232551
