"Var";"Rep";"Date";"pRec"
"74F";"RP1";"220627";0,113733764093097
"74F";"RP1";"220711";0,00317028985507246
"74F";"RP1";"220725";3,15008306811585
"74F";"RP1";"220826";29,045901347893
"74F";"RP1";"221007";46,6231133138094
"74F";"RP1";"221117";60,9582107796325
"74F";"RP1";"221213";40,1167014803378
"74F";"RP1";"230113";5,91311907566325
"A01";"RP1";"220627";1,60025254364877
"A01";"RP1";"220711";8,44576772797582
"A01";"RP1";"220725";16,3769799257881
"A01";"RP1";"220826";31,7273685880388
"A01";"RP1";"221007";50,6227208324623
"A01";"RP1";"221117";21,8754831157932
"A01";"RP1";"221213";6,48049883432001
"A01";"RP1";"230113";0,0830157155536992
"A109";"RP1";"220627";1,42186314281965
"A109";"RP1";"220711";8,1937117127563
"A109";"RP1";"220725";29,306511430522
"A109";"RP1";"220826";66,464391066161
"A109";"RP1";"221007";71,6600153772929
"A109";"RP1";"221117";78,4151528258362
"A109";"RP1";"221213";67,0613429613111
"A109";"RP1";"230113";46,0565160433234
"A53";"RP1 ";"220826";50,9030585242409
"A53";"RP1";"220627";0,222605468127583
"A53";"RP1";"220711";12,7440633245383
"A53";"RP1";"220725";26,6769992250581
"A53";"RP1";"221007";70,8652322012748
"A53";"RP1";"221117";59,3792227084396
"A53";"RP1";"221213";55,1581208377903
"A53";"RP1";"230113";13,2490857751238
"A58";"RP1";"220627";3,35636191460055
"A58";"RP1";"220711";19,0419803208436
"A58";"RP1";"220725";32,3759133282943
"A58";"RP1";"220826";56,9773017902813
"A58";"RP1";"221007";55,8164505487476
"A58";"RP1";"221117";57,1921592782478
"A58";"RP1";"221213";26,0212384113966
"A58";"RP1";"230113";0,187684501409992
