"","Year","Var","Site","DOYemMean","MaxEmRate_obs","FirstEm_obs","code","Steepness","MaxEmRate","MedianEm","em90","em95","FirstEm","DOYem","Latency"
"1","2017","Belep","Godet",NA,0.95,26,"Godet_2017_Belep",11.0782408867443,0.95005631623274,42.9020397437721,23.0749595630759,28.8953423801913,1.55321758522668,42.9020397437721,1.55321758522668
"2","2017","Boutou","Godet",NA,1,26,NA,NA,NA,NA,NA,NA,NA,NA,26
"3","2017","Florido","Godet",NA,1,26,NA,NA,NA,NA,NA,NA,NA,NA,26
"4","2017","Goana","Godet",NA,1,26,NA,NA,NA,NA,NA,NA,NA,NA,26
"5","2017","GrosseCaille","Godet",NA,0.8,26,"Godet_2017_GrosseCaille",6.22983746197817,0.816327423774971,55.1487717157432,54.093119051766,68.6659987198225,12.4049614862289,55.1487717157432,12.4049614862289
"6","2017","INRA15","Godet",NA,1,26,"Godet_2017_INRA15",8.60041473042384,1,56.4995543822283,39.4465708115081,49.6037737479483,2.95060179257188,56.4995543822283,2.95060179257188
"7","2017","Kinabayo","Godet",NA,1,26,"Godet_2017_Kinabayo",7.70660419707214,1,54.5990008842092,42.7434220777399,53.8878738891569,3.93087161399182,54.5990008842092,3.93087161399182
"8","2017","Oriental","Godet",NA,0.85,26,"Godet_2017_Oriental",9.57061171312428,0.851806921919773,54.1522712863089,33.8484762923911,42.4781283257736,3.56313578034533,54.1522712863089,3.56313578034533
"9","2017","Pacala","Godet",NA,1,26,NA,NA,NA,NA,NA,NA,NA,NA,26
"10","2017","Plimbite","Godet",NA,0.9,26,"Godet_2017_Plimbite",8.20889720864719,0.924872903050706,66.5250389964734,48.7535010307604,61.3700034493829,5.96066801650448,66.5250389964734,5.96066801650448
"11","2017","Pyramide","Godet",NA,1,26,NA,NA,NA,NA,NA,NA,NA,NA,26
"12","2017","StVincent","Godet",NA,1,26,NA,NA,NA,NA,NA,NA,NA,NA,26
"13","2017","ToufiTetea","Godet",NA,1,26,NA,NA,NA,NA,NA,NA,NA,NA,26
"14","2021","A14","Godet",26,1,13,"Godet_2021_A14",5.64144956568036,1,23.4263787994898,25.5793037712047,32.6103300190018,2.82149484712187,23.4263787994898,2.82149484712187
"15","2021","A14","Roujol",41,0.944444444444444,25,"Roujol_2021_A14",4.40325405107359,1,39.7044111849118,57.1471432808606,73.9600112067448,13.8454327916298,39.7044111849118,13.8454327916298
"16","2021","A17","Godet",39,1,19,"Godet_2021_A17",5.82237174040332,1,35.3368661988059,37.2835041993301,47.4624613606967,3.95551720512791,35.3368661988059,3.95551720512791
"17","2021","A17","Roujol",34,1,20,"Roujol_2021_A17",4.4868953588706,1,31.1796441669309,43.923087176287,56.7656008048076,7.45888621959729,31.1796441669309,7.45888621959729
"18","2021","A2","Godet",22,0.95,13,"Godet_2021_A2",7.39080398673712,0.984562266770657,20.4381416498522,16.7190029765172,21.1020622959628,2.34358949022382,20.4381416498522,2.34358949022382
"19","2021","A2","Roujol",20,1,10,"Roujol_2021_A2",3.75774105789852,1,15.9916220471331,27.705351406899,36.3615065331092,5.79925602872199,15.9916220471331,5.79925602872199
"20","2021","A21","Godet",22.5,1,13,"Godet_2021_A21",5.75179513612978,1,22.7176787104303,24.2883792787697,30.9365641697678,2.70457952604711,22.7176787104303,2.70457952604711
"21","2021","A21","Roujol",27,0.875,14,"Roujol_2021_A21",3.0970019003792,0.90258966652326,26.8582664885394,59.119460763517,79.4352786958623,21.3227734673745,26.8582664885394,14
"22","2021","A22","Godet",24,0.95,15,"Godet_2021_A22",7.25810669662129,1,25.6071994684923,21.3510286735267,26.9624582173164,2.43825685487267,25.6071994684923,2.43825685487267
"23","2021","A22","Roujol",21.5,1,11,"Roujol_2021_A22",6.37077172834819,1,20.3207781761338,19.4595956046424,24.6808202334646,2.3464004062675,20.3207781761338,2.3464004062675
"24","2021","A6","Godet",34,1,18,"Godet_2021_A6",6.8860847682259,1,31.032636735622,27.3547787289022,34.6001285932817,2.40222043952861,31.032636735622,2.40222043952861
"25","2021","A6","Roujol",42,1,18,"Roujol_2021_A6",4.25817336681528,1,35.6163511076162,53.2760963701241,69.1313929517115,8.41712002435567,35.6163511076162,8.41712002435567
"26","2021","A9","Godet",24.5,1,15,"Godet_2021_A9",7.36823654927022,1,24.3950177343089,20.0201799317546,25.2708656135596,1.65338039570109,24.3950177343089,1.65338039570109
"27","2021","A9","Roujol",30,0.9375,16,"Roujol_2021_A9",3.65197681388105,0.939698419722908,25.7308519972799,46.1351277163176,60.7300643610226,10.9406536282866,25.7308519972799,10.9406536282866
"28","2021","Belep","Roujol",25.5,0.833333333333333,11,"Roujol_2021_Belep",2.34818382811134,0.909163243066323,21.9797452348728,70.7456568975114,99.9973086943016,40.3831835887736,21.9797452348728,11
"29","2021","BeteBete","Godet",22.5,1,9,"Godet_2021_BeteBete",6.25957533020237,1,22.4440773282724,21.9022504115081,27.7976125628608,2.1019467452042,22.4440773282724,2.1019467452042
"30","2021","BeteBete","Roujol",18,0.944444444444444,10,"Roujol_2021_BeteBete",3.16768937777524,0.958913783648419,15.7754547659401,33.7367168002736,45.186342682255,10.1002657742205,15.7754547659401,10
"31","2021","Boutou","Godet",38.5,1,17,"Godet_2021_Boutou",5.21554016122981,1,37.0985184202517,44.1488255756461,56.5113094615353,5.38055728168329,37.0985184202517,5.38055728168329
"32","2021","Boutou","Roujol",23,1,16,"Roujol_2021_Boutou",4.64503322941884,1,21.4269724751103,29.0207788488803,37.4139018433781,5.33678180146115,21.4269724751103,5.33678180146115
